Applicant Income,Co-applicant Income,Loan Amount,Loan Amount Term,Total_Income,Approx_DTI,LIR,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Education_Graduate,Education_Not Graduate,Employment Type_Salaried,Employment Type_Self-Employed,Property Area_Rural,Property Area_Semi-Urban,Property Area_Urban,Has_Credit_History_0,Has_Credit_History_1,Credit History
0.1361386695663518,-0.31003652959200434,-0.3171880839723654,0.42096111585101637,0.036281727678388706,-0.42948193597197565,-0.44869668861855455,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
-0.5095861882779971,-0.31003652959200434,0.5610235418942238,0.42096111585101637,-0.5787899794158062,0.21130310434388982,0.41179320678584247,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
-0.38858851749959883,-0.31003652959200434,0.6137162394462191,0.42096111585101637,-0.46353617895265264,-0.0411275199770659,0.07281213224057326,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4055653591631434
0.27503430089132364,0.27624710821877924,0.6137162394462191,0.42096111585101637,0.34519387853456085,-0.4212626164150721,-0.4376592252247012,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.465693820752916
1.8898591474970194,-0.31003652959200434,1.439235167760813,0.42096111585101637,1.7067514873958842,-0.49000333160698656,-0.5299689501776378,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.465693820752916
0.027259409574696022,-0.31003652959200434,0.4029454492382377,0.42096111585101637,-0.06742893406349375,-0.34768734359975983,-0.33885732626340526,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
-0.23375251506283493,-0.31003652959200434,1.3865424702088176,-2.93164110098137,-0.3160503834447188,0.8551365328457435,-0.014089812203801084,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4055653591631434
-0.483951088536811,0.05340626850789317,0.2273031240649199,0.42096111585101637,-0.4448895702490608,-0.13370068652023429,-0.05150143531200005,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
-0.590593103460145,-0.31003652959200434,1.5797490278994673,0.42096111585101637,-0.6559514220987651,0.9986603283452161,1.469110236210918,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4055653591631434
0.6322477634666874,-0.31003652959200434,1.2635928425874952,0.42096111585101637,0.5088400682522743,-0.41108691118916757,-0.423994593601609,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
-0.36435169592611377,-0.31003652959200434,0.9650008897928548,0.42096111585101637,-0.4404499015101103,-0.016292671027625747,0.10616206276384776,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
0.6906025723320782,-0.31003652959200434,0.8244870296542006,0.42096111585101637,0.5644247208639339,-0.43798245910462924,-0.4601117713703213,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
-0.42783352473974184,-0.31003652959200434,2.422832188731393,0.42096111585101637,-0.5009181897346154,0.3829394724229711,0.6422782386198522,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4055653591631434
-0.5179758572842035,-0.31003652959200434,1.123078982448841,0.42096111585101637,-0.5867813831459171,0.3928681469755839,0.6556111405912696,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4055653591631434
-0.05943383682276961,1.2530917415545948,-0.8968077570443143,0.42096111585101637,0.3208644938451124,-0.5005829059443383,-0.544175924813755,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.465693820752916
-0.3329370464250967,0.23527504906558724,0.24486735658225167,-2.0934905467732734,-0.24625879086841776,0.006460605799280302,-0.26130317256798863,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4055653591631434
-0.6200501635263808,-0.31003652959200434,-0.2820596189377019,0.42096111585101637,-0.6840101285289318,0.45162890914234,0.7345191033393235,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4055653591631434
2.062872766113897,0.08406162211891453,2.159368700971416,-2.93164110098137,1.9902687330652598,-0.27858316140921097,-0.5215685451896533,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4055653591631434
-0.512569181702426,-0.31003652959200434,1.3162855401394906,0.42096111585101637,-0.5816313674087346,0.422865806433853,0.6958940455056831,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4055653591631434
0.4010657730734457,0.15893142805352442,2.1242402359367527,0.42096111585101637,0.42990275807373535,-0.35689924915429816,-0.3512277018938858,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4055653591631434
